article_index,date,cluster,keywords
74,2024-11-20T17:32:00+05:30,3,"found, scientists, university, like, climate"
75,2024-11-16T13:10:19+05:30,3,"found, scientists, university, like, climate"
76,2024-11-11T21:20:26+05:30,2,"space, mission, launch, isro, indian"
77,2024-11-09T15:10:48+05:30,1,"space, nasa, mission, launch, astronauts"
78,2024-10-24T09:19:15+05:30,3,"found, scientists, university, like, climate"
79,2024-10-22T21:12:29+05:30,3,"found, scientists, university, like, climate"
80,2024-10-14T21:54:43+05:30,0,"solar, space, earth, moon, asteroid"
81,2024-10-10T01:50:55+05:30,0,"solar, space, earth, moon, asteroid"
82,2024-10-08T13:21:47+05:30,3,"found, scientists, university, like, climate"
83,2024-10-08T03:03:34+05:30,3,"found, scientists, university, like, climate"
84,2024-10-06T17:19:09+05:30,2,"space, mission, launch, isro, indian"
85,2024-10-04T13:12:07+05:30,3,"found, scientists, university, like, climate"
86,2024-10-02T13:13:49+05:30,2,"space, mission, launch, isro, indian"
87,2024-10-02T04:33:13+05:30,3,"found, scientists, university, like, climate"
88,2024-10-01T03:11:33+05:30,3,"found, scientists, university, like, climate"
89,2024-09-24T11:07:27+05:30,3,"found, scientists, university, like, climate"
90,2024-09-23T15:30:44+05:30,4,"cells, patients, cancer, virus, found"
91,2024-09-23T02:19:04+05:30,1,"space, nasa, mission, launch, astronauts"
92,2024-09-23T02:19:04+05:30,1,"space, nasa, mission, launch, astronauts"
93,2024-09-18T21:16:59+05:30,0,"solar, space, earth, moon, asteroid"
94,2024-09-18T16:17:04+05:30,4,"cells, patients, cancer, virus, found"
95,2024-09-14T18:31:51+05:30,0,"solar, space, earth, moon, asteroid"
96,2024-09-14T02:38:11+05:30,1,"space, nasa, mission, launch, astronauts"
97,2024-09-12T08:00:03+05:30,3,"found, scientists, university, like, climate"
98,2024-09-12T06:36:31+05:30,1,"space, nasa, mission, launch, astronauts"
99,2024-09-11T13:50:06+05:30,3,"found, scientists, university, like, climate"
100,2024-09-11T11:52:27+05:30,3,"found, scientists, university, like, climate"
101,2024-09-07T11:36:21+05:30,1,"space, nasa, mission, launch, astronauts"
102,2024-09-07T10:02:31+05:30,1,"space, nasa, mission, launch, astronauts"
103,2024-09-07T05:11:17+05:30,1,"space, nasa, mission, launch, astronauts"
104,2024-09-07T03:38:49+05:30,1,"space, nasa, mission, launch, astronauts"
105,2024-09-06T07:04:09+05:30,1,"space, nasa, mission, launch, astronauts"
106,2024-08-31T10:09:35+05:30,4,"cells, patients, cancer, virus, found"
107,2024-08-28T08:00:10+05:30,3,"found, scientists, university, like, climate"
108,2024-08-28T03:02:13+05:30,1,"space, nasa, mission, launch, astronauts"
109,2024-08-25T19:02:00+05:30,3,"found, scientists, university, like, climate"
110,2024-08-25T06:29:26+05:30,1,"space, nasa, mission, launch, astronauts"
111,2024-08-24T21:19:09+05:30,3,"found, scientists, university, like, climate"
112,2024-08-24T19:32:04+05:30,3,"found, scientists, university, like, climate"
113,2024-08-24T17:19:49+05:30,2,"space, mission, launch, isro, indian"
114,2024-08-22T20:01:12+05:30,2,"space, mission, launch, isro, indian"
115,2024-08-22T15:44:18+05:30,3,"found, scientists, university, like, climate"
116,2024-08-21T16:57:27+05:30,2,"space, mission, launch, isro, indian"
117,2024-08-20T18:57:29+05:30,2,"space, mission, launch, isro, indian"
118,2024-08-20T06:47:12+05:30,1,"space, nasa, mission, launch, astronauts"
119,2024-08-18T16:30:39+05:30,3,"found, scientists, university, like, climate"
120,2024-08-18T08:00:07+05:30,3,"found, scientists, university, like, climate"
121,2024-08-17T11:37:18+05:30,0,"solar, space, earth, moon, asteroid"
122,2024-08-17T07:17:06+05:30,0,"solar, space, earth, moon, asteroid"
123,2024-08-16T20:19:45+05:30,2,"space, mission, launch, isro, indian"
124,2024-08-15T01:07:01+05:30,1,"space, nasa, mission, launch, astronauts"
125,2024-08-13T14:50:59+05:30,3,"found, scientists, university, like, climate"
126,2024-08-13T07:59:54+05:30,3,"found, scientists, university, like, climate"
127,2024-08-13T06:51:45+05:30,3,"found, scientists, university, like, climate"
128,2024-08-08T22:25:04+05:30,4,"cells, patients, cancer, virus, found"
129,2024-08-08T08:00:18+05:30,3,"found, scientists, university, like, climate"
130,2024-08-07T18:07:58+05:30,2,"space, mission, launch, isro, indian"
131,2024-08-06T22:18:46+05:30,2,"space, mission, launch, isro, indian"
132,2024-08-04T08:18:05+05:30,0,"solar, space, earth, moon, asteroid"
133,2024-08-03T09:00:01+05:30,3,"found, scientists, university, like, climate"
134,2024-08-02T19:47:06+05:30,2,"space, mission, launch, isro, indian"
135,2024-07-31T02:23:17+05:30,0,"solar, space, earth, moon, asteroid"
136,2024-07-30T10:13:25+05:30,3,"found, scientists, university, like, climate"
137,2024-07-29T17:59:20+05:30,3,"found, scientists, university, like, climate"
138,2024-07-29T15:44:54+05:30,3,"found, scientists, university, like, climate"
139,2024-07-26T12:38:51+05:30,3,"found, scientists, university, like, climate"
140,2024-07-26T10:55:25+05:30,3,"found, scientists, university, like, climate"
141,2024-07-23T21:12:24+05:30,2,"space, mission, launch, isro, indian"
142,2024-07-23T12:35:33+05:30,4,"cells, patients, cancer, virus, found"
143,2024-07-22T16:25:36+05:30,4,"cells, patients, cancer, virus, found"
144,2024-07-22T16:17:19+05:30,2,"space, mission, launch, isro, indian"
145,2024-07-21T08:00:05+05:30,3,"found, scientists, university, like, climate"
146,2024-07-16T10:07:25+05:30,1,"space, nasa, mission, launch, astronauts"
147,2024-07-15T21:16:42+05:30,3,"found, scientists, university, like, climate"
148,2024-07-14T19:33:50+05:30,3,"found, scientists, university, like, climate"
149,2024-07-13T11:27:00+05:30,0,"solar, space, earth, moon, asteroid"
150,2024-07-13T08:00:15+05:30,3,"found, scientists, university, like, climate"
151,2024-07-13T02:23:58+05:30,1,"space, nasa, mission, launch, astronauts"
152,2024-07-12T01:01:42+05:30,3,"found, scientists, university, like, climate"
153,2024-07-11T10:01:23+05:30,3,"found, scientists, university, like, climate"
154,2024-07-08T15:15:34+05:30,1,"space, nasa, mission, launch, astronauts"
155,2024-07-06T19:21:18+05:30,2,"space, mission, launch, isro, indian"
156,2024-07-06T13:06:24+05:30,3,"found, scientists, university, like, climate"
157,2024-07-06T06:21:41+05:30,0,"solar, space, earth, moon, asteroid"
158,2024-07-05T15:29:31+05:30,3,"found, scientists, university, like, climate"
159,2024-07-04T12:32:35+05:30,0,"solar, space, earth, moon, asteroid"
160,2024-07-03T02:33:01+05:30,3,"found, scientists, university, like, climate"
161,2024-07-02T14:00:21+05:30,0,"solar, space, earth, moon, asteroid"
162,2024-07-02T08:19:00+05:30,1,"space, nasa, mission, launch, astronauts"
163,2024-06-29T11:57:53+05:30,0,"solar, space, earth, moon, asteroid"
164,2024-06-28T14:07:56+05:30,0,"solar, space, earth, moon, asteroid"
165,2024-06-28T11:23:44+05:30,1,"space, nasa, mission, launch, astronauts"
166,2024-06-27T06:44:49+05:30,3,"found, scientists, university, like, climate"
167,2024-06-23T10:12:32+05:30,2,"space, mission, launch, isro, indian"
168,2024-06-23T08:31:02+05:30,2,"space, mission, launch, isro, indian"
169,2024-06-22T11:22:12+05:30,3,"found, scientists, university, like, climate"
170,2024-06-21T18:35:48+05:30,2,"space, mission, launch, isro, indian"
171,2024-06-16T11:16:04+05:30,4,"cells, patients, cancer, virus, found"
172,2024-06-14T07:00:04+05:30,3,"found, scientists, university, like, climate"
173,2024-06-11T10:48:08+05:30,4,"cells, patients, cancer, virus, found"
174,2024-06-09T18:56:25+05:30,3,"found, scientists, university, like, climate"
175,2024-06-09T09:15:32+05:30,3,"found, scientists, university, like, climate"
176,2024-06-08T08:36:58+05:30,1,"space, nasa, mission, launch, astronauts"
177,2024-06-03T21:18:08+05:30,4,"cells, patients, cancer, virus, found"
178,2024-06-03T06:47:52+05:30,3,"found, scientists, university, like, climate"
179,2024-06-01T08:19:15+05:30,1,"space, nasa, mission, launch, astronauts"
180,2024-05-31T14:55:48+05:30,4,"cells, patients, cancer, virus, found"
181,2024-05-28T14:53:46+05:30,1,"space, nasa, mission, launch, astronauts"
182,2024-05-25T08:30:12+05:30,3,"found, scientists, university, like, climate"
183,2024-05-23T14:55:33+05:30,1,"space, nasa, mission, launch, astronauts"
184,2024-05-22T19:01:56+05:30,3,"found, scientists, university, like, climate"
185,2024-05-22T15:23:57+05:30,2,"space, mission, launch, isro, indian"
186,2024-05-21T21:19:06+05:30,0,"solar, space, earth, moon, asteroid"
187,2024-05-19T11:17:30+05:30,3,"found, scientists, university, like, climate"
188,2024-05-18T22:31:45+05:30,3,"found, scientists, university, like, climate"
189,2024-05-17T08:30:12+05:30,3,"found, scientists, university, like, climate"
190,2024-05-15T21:24:31+05:30,3,"found, scientists, university, like, climate"
191,2024-05-13T14:16:56+05:30,0,"solar, space, earth, moon, asteroid"
192,2024-05-12T15:06:43+05:30,2,"space, mission, launch, isro, indian"
193,2024-05-12T14:30:48+05:30,0,"solar, space, earth, moon, asteroid"
194,2024-05-12T07:03:29+05:30,0,"solar, space, earth, moon, asteroid"
195,2024-05-11T15:31:56+05:30,0,"solar, space, earth, moon, asteroid"
196,2024-05-08T07:39:37+05:30,1,"space, nasa, mission, launch, astronauts"
197,2024-05-08T07:21:54+05:30,3,"found, scientists, university, like, climate"
198,2024-05-07T10:24:02+05:30,3,"found, scientists, university, like, climate"
199,2024-05-07T08:00:18+05:30,3,"found, scientists, university, like, climate"
200,2024-05-07T07:12:29+05:30,1,"space, nasa, mission, launch, astronauts"
201,2024-05-07T06:56:22+05:30,1,"space, nasa, mission, launch, astronauts"
